x_value,total_1,total_2
0,1000,1000
1,998,996
2,1001,997
3,996,1000
4,995,1001
5,998,998
6,995,994
7,989,993
8,986,997
9,990,992
10,991,993
11,991,994
12,992,994
13,992,993
14,991,994
15,997,998
16,1003,997
17,1006,999
18,1012,1002
19,1018,1006
20,1025,1012
21,1033,1013
22,1033,1018
23,1038,1015
24,1044,1017
25,1042,1019
26,1038,1024
27,1037,1024
28,1037,1024
29,1039,1026
30,1047,1029
31,1043,1031
32,1042,1035
33,1042,1030
34,1041,1025
35,1048,1030
36,1043,1036
37,1050,1040
38,1057,1037
39,1056,1036
40,1051,1034
41,1049,1032
42,1057,1029
43,1059,1032
44,1067,1029
45,1069,1032
46,1073,1037
47,1070,1037
48,1077,1042
49,1084,1039
50,1089,1042
51,1096,1044
52,1104,1048
53,1101,1046
54,1105,1042
55,1104,1048
56,1099,1044
57,1094,1048
58,1094,1043
59,1101,1049
60,1103,1055
61,1102,1050
62,1107,1053
63,1106,1057
64,1111,1052
65,1116,1055
66,1123,1051
67,1124,1053
68,1127,1059
69,1128,1056
70,1130,1057
71,1126,1053
72,1130,1050
73,1129,1056
74,1134,1052
75,1136,1048
76,1133,1049
77,1138,1052
78,1141,1051
79,1139,1054
80,1136,1056
81,1144,1053
82,1138,1057
83,1141,1063
84,1145,1058
85,1144,1063
86,1141,1065
87,1143,1066
88,1141,1062
89,1148,1057
90,1154,1063
91,1148,1061
92,1142,1062
93,1143,1058
94,1147,1059
95,1146,1065
96,1147,1070
97,1149,1076
98,1152,1080
99,1158,1084
100,1159,1086
101,1165,1088
102,1173,1084
103,1173,1087
104,1174,1083
105,1181,1083
106,1184,1088
107,1184,1094
108,1180,1096
109,1182,1098
110,1185,1104
111,1186,1109
112,1185,1110
113,1179,1105
114,1183,1107
115,1178,1109
116,1180,1111
117,1178,1114
118,1180,1112
119,1185,1113
120,1184,1112
121,1192,1108
122,1188,1104
123,1192,1110
124,1189,1106
125,1190,1108
126,1192,1103
127,1187,1106
128,1192,1108
129,1196,1114
130,1197,1120
131,1192,1119
132,1198,1114
133,1198,1118
134,1194,1114
135,1196,1111
136,1193,1112
137,1194,1110
138,1201,1111
139,1204,1111
140,1211,1110
141,1215,1115
142,1222,1119
143,1229,1121
144,1230,1119
145,1238,1118
146,1241,1118
147,1235,1115
148,1235,1115
149,1243,1117
150,1242,1114
151,1241,1114
152,1237,1114
153,1233,1115
154,1238,1120
155,1233,1122
156,1239,1117
157,1242,1123
158,1243,1119
159,1247,1115
160,1250,1121
161,1258,1122
162,1252,1127
163,1247,1124
164,1245,1121
165,1242,1118
166,1236,1123
167,1240,1125
168,1241,1123
169,1246,1125
170,1243,1131
171,1237,1128
172,1237,1123
173,1238,1124
174,1239,1120
175,1246,1115
176,1245,1111
177,1248,1107
178,1251,1107
179,1250,1110
180,1249,1106
181,1255,1108
182,1258,1106
183,1265,1104
184,1271,1110
185,1278,1113
186,1284,1109
187,1281,1109
188,1283,1114
189,1284,1112
190,1292,1118
191,1291,1117
192,1291,1115
193,1285,1117
194,1293,1118
195,1298,1116
196,1292,1114
197,1291,1112
198,1293,1117
199,1295,1122
200,1292,1122
201,1298,1128
202,1294,1129
203,1302,1133
204,1308,1130
205,1305,1135
206,1301,1140
207,1301,1145
208,1301,1143
209,1295,1149
210,1295,1148
211,1295,1154
212,1298,1154
213,1300,1155
214,1308,1150
215,1312,1148
216,1318,1148
217,1312,1149
218,1314,1154
219,1321,1151
220,1320,1146
221,1316,1149
222,1320,1150
223,1324,1146
224,1322,1150
225,1329,1147
226,1334,1145
227,1342,1146
228,1348,1143
229,1355,1141
230,1358,1142
231,1365,1145
232,1367,1146
233,1366,1145
234,1372,1140
235,1375,1136
236,1375,1135
237,1381,1137
238,1377,1143
239,1381,1143
240,1377,1140
241,1378,1142
242,1380,1142
243,1388,1141
244,1394,1146
245,1391,1141
246,1396,1145
247,1396,1149
248,1399,1144
249,1397,1140
250,1403,1143
251,1410,1143
252,1408,1139
253,1411,1141
254,1413,1136
255,1407,1137
256,1412,1134
257,1419,1133
258,1424,1134
259,1419,1139
260,1420,1140
261,1426,1135
262,1421,1134
263,1423,1133
264,1427,1135
265,1422,1140
266,1418,1135
267,1417,1131
268,1418,1128
269,1425,1123
270,1426,1129
271,1427,1134
272,1424,1139
273,1430,1142
274,1429,1147
275,1423,1142
276,1426,1146
277,1431,1152
278,1434,1156
279,1429,1151
280,1434,1156
281,1435,1157
282,1430,1162
283,1431,1168
284,1435,1174
285,1443,1172
286,1442,1176
287,1436,1173
288,1434,1174
289,1434,1177
290,1442,1177
291,1438,1175
292,1440,1173
293,1445,1174
294,1452,1173
295,1455,1169
296,1459,1164
297,1460,1163
298,1462,1162
299,1467,1164
300,1466,1159
301,1468,1155
302,1462,1154
303,1464,1156
304,1462,1159
305,1459,1157
306,1455,1160
307,1449,1155
308,1448,1150
309,1449,1148
310,1457,1152
311,1462,1156
312,1467,1158
313,1462,1154
314,1468,1155
315,1470,1160
316,1471,1166
317,1471,1165
318,1472,1170
319,1475,1167
320,1474,1162
321,1472,1165
322,1476,1169
323,1483,1174
324,1484,1171
325,1484,1175
326,1480,1171
327,1486,1176
328,1481,1178
329,1481,1182
330,1478,1183
331,1486,1186
332,1480,1181
333,1482,1183
334,1484,1178
335,1490,1184
336,1487,1189
337,1493,1188
338,1491,1186
339,1487,1191
340,1488,1197
341,1488,1196
342,1494,1191
343,1488,1192
344,1490,1189
345,1496,1190
346,1493,1188
347,1492,1194
348,1499,1198
349,1503,1194
350,1507,1195
351,1511,1192
352,1512,1188
353,1512,1192
354,1507,1196
355,1503,1191
356,1498,1192
357,1500,1194
358,1504,1190
359,1511,1187
360,1510,1186
361,1510,1184
362,1515,1190
363,1516,1192
364,1522,1192
365,1520,1190
366,1520,1190
367,1515,1187
368,1511,1183
369,1510,1181
370,1515,1181
371,1520,1181
372,1519,1181
373,1518,1185
374,1524,1186
375,1520,1191
376,1518,1191
377,1515,1190
378,1523,1189
379,1528,1184
380,1525,1180
381,1532,1186
382,1539,1188
383,1544,1187
384,1549,1189
385,1555,1194
386,1561,1195
387,1562,1198
388,1560,1196
389,1558,1194
390,1562,1200
391,1569,1196
392,1566,1194
393,1570,1190
394,1565,1185
395,1573,1180
396,1581,1181
397,1589,1178
398,1586,1178
399,1588,1179
400,1595,1182
401,1602,1187
